,A,C,B
1.0,-0.000585588912004,-0.00138249471191,0.00111586477437
2.0,6.62996429962e-05,-0.00119689391099,0.000358481056892
3.0,3.61460707671e-05,-0.00135901731789,0.000255478817457
4.0,-0.000225917998539,-0.00150881167128,0.000593251481108
5.0,-0.00061622122794,-0.00257298735586,0.00111433260522
6.0,0.000547735094651,-0.00227969607421,0.00026483702933
7.0,0.000316292867367,-0.00270312008891,0.000947694548394
8.0,0.000797952061446,0.000987497186345,-0.000641279251472
9.0,0.00117567175117,0.00213595069924,-0.000664921704489
10.0,0.00144943408892,0.00472812748877,-0.0018993659526
11.0,0.000638880301138,0.00283969341463,-0.00087146374357
12.0,0.000717350340306,-0.00248139487527,0.000503454501278
13.0,0.000930564939083,-0.000909642842679,0.000113365111114
14.0,0.00131482872695,0.000347249061293,3.03304872525e-05
15.0,0.000382332269404,-0.00023325868228,0.000525457032433
16.0,0.00093080722032,0.00188782999631,-0.000408245710785
17.0,0.00141199039224,0.00105643808573,-9.22800586691e-05
18.0,0.00208634543456,0.00077362660611,-0.000361055014386
19.0,0.00195474987207,0.00142773003974,-0.000429364878132
20.0,0.00164557425719,-0.00173552191512,0.000410337346894
21.0,0.00214349296776,-0.000888678254868,0.000257786347439
22.0,0.00196642243591,-0.00151313872246,0.00018630796594
23.0,0.00312595023463,-0.000626753581355,-2.36166399267e-05
24.0,0.00343413578995,-0.0009688211676,0.000291368536465
25.0,0.00402891792967,-0.0023273683535,0.000404089341346
26.0,0.00496971198877,-0.00110249665339,0.000236394648662
27.0,0.00534720139584,0.000632016935329,-0.000260894554679
28.0,0.00545387927817,-3.16286839736e-05,0.000226511691226
29.0,0.00653357655767,0.000552213553774,-1.37198402018e-05
30.0,0.00720321496887,-0.000490455133308,0.000328540467982
31.0,0.00836072403993,-0.000430677014651,-9.4308874504e-05
32.0,0.00834739639967,-0.00082886673518,0.000360129635333
33.0,0.00898621558219,-0.00226964977191,0.000589379387823
34.0,0.0119255976268,0.00376996858915,-0.00145950100602
35.0,0.0128830645496,0.0016949808111,-0.000703253852033
36.0,0.0129134887183,0.00064624620013,-0.000165846215123
37.0,0.0145822007555,-0.00378472233469,0.00123652339131
38.0,0.0156227400348,-0.000953380277479,0.000861049864579
39.0,0.0183851246493,0.00276599256203,-0.000790035932817
40.0,0.0195460919063,-0.00136102596511,0.000632379268725
41.0,0.0228030487674,0.00137709627335,-0.000513574499809
42.0,0.0248178636573,0.00201084837619,-0.000663001363033
43.0,0.0276195501618,0.00301675923426,-0.000711753737746
44.0,0.0290891917632,-0.000761983720832,0.000419319576484
45.0,0.0314988733824,0.000655218439365,8.61742582408e-06
46.0,0.035960331705,-0.00140980044982,0.000467983326714
47.0,0.0384662017749,-0.00212407832976,0.000852968075102
48.0,0.041594211519,-0.00426746606798,0.00144056194715
49.0,0.045452023894,0.000541737432413,-4.60491971138e-05
50.0,0.0491930573297,-0.00448109650629,0.00150645282136
51.0,0.0539639593999,-0.000353319853547,0.000251258004437
52.0,0.0588026421079,0.00190555927158,-0.000370365641017
53.0,0.0623475486289,-0.00286398863125,0.00120675593742
54.0,0.0675124456916,0.000575763254919,-0.000236135746588
55.0,0.0741545869077,0.00187802406646,-0.000180153002511
56.0,0.0800036153816,0.00415354261081,-0.000803658674313
57.0,0.0847968344775,-0.00295350269017,0.000758350454252
58.0,0.0904363363592,-0.00323923625632,0.00180116412822
59.0,0.097480100323,-0.000877222344995,0.00047360203117
60.0,0.103609539314,-0.00216452300976,0.00106997629355
61.0,0.111191934108,-0.000318256190525,0.000613963637789
62.0,0.118280022705,-0.000481886447913,0.000895855846201
63.0,0.125330114681,-0.00483283544712,0.00214623049198
64.0,0.13335531041,-0.00259341011104,0.00142507333641
65.0,0.141943122865,-0.000793545373859,0.00127041472554
66.0,0.149454263802,-0.0013560768665,0.00168146276714
67.0,0.15764140526,-0.000408662235129,0.00116393176129
68.0,0.166634485216,0.0024151035972,0.000672851460123
69.0,0.175856548646,-3.33525274511e-05,0.00147760067847
70.0,0.18507825376,-0.00108503341418,0.00228168334847
71.0,0.194329458189,-0.00132107607015,0.00229308881067
72.0,0.203026667364,-0.00248419602845,0.00278345733953
73.0,0.213438535267,0.00128206938291,0.00239726619751
74.0,0.222628404016,-0.000355209452739,0.00326879316489
75.0,0.232573322319,0.00186636999908,0.00266258333572
76.0,0.240399503445,-0.00381698251205,0.00560007894689
77.0,0.252271063441,0.00138564944103,0.00342297970707
78.0,0.260867718545,0.00086286133253,0.00482907782442
79.0,0.269618919915,-0.00504945343334,0.00708694173512
80.0,0.279977381322,-0.00221441983855,0.00725066542803
81.0,0.28933802893,0.000440900317444,0.00702716021951
82.0,0.29848830161,0.000130789495964,0.00751749866908
83.0,0.307224113434,-0.00295072118966,0.00979097565542
84.0,0.315765400225,-0.00356344363344,0.0111632300737
85.0,0.324653246633,-0.000922747545629,0.0114341747581
86.0,0.332539588249,-0.00178677442174,0.0124264884188
87.0,0.340387568285,-0.00131534106593,0.0138815161262
88.0,0.347707179098,-0.00333593928895,0.0164215911836
89.0,0.354952890453,-0.00088561128617,0.0164400104192
90.0,0.361883724129,-5.0585830372e-05,0.0183136850439
91.0,0.366630909397,-0.0037910914425,0.0216267048683
92.0,0.373973108126,0.000445127670833,0.0217802920702
93.0,0.378124225491,-0.005855773618,0.0258838581499
94.0,0.382758887447,-0.00229172832227,0.0272292189217
95.0,0.386672004889,-0.00501823954079,0.0300445372505
96.0,0.390766650258,-0.00250353145016,0.0321431102403
97.0,0.393114213292,-0.00477756183872,0.0353192596415
98.0,0.396308857847,0.000192959810862,0.0368464199633
99.0,0.39712692652,-0.000235415996721,0.0407683759889
100.0,0.398214112694,-0.000349752915605,0.0439542560823
101.0,0.399095622465,-0.000249345821332,0.0481752654253
102.0,0.397283080666,-0.00280462461501,0.0528666744264
103.0,0.397058589369,-0.00387828867715,0.0570270538683
104.0,0.395621704125,-0.00033234836683,0.0605029263532
105.0,0.393236746065,-0.00369353422103,0.0657146805054
106.0,0.390509026106,-0.00134421431633,0.0701997684032
107.0,0.386610616536,-0.00217862344655,0.0756303883074
108.0,0.383430562289,-0.00174943086085,0.0808469164735
109.0,0.378525122514,-0.00192460326372,0.0863110291278
110.0,0.372934856196,-0.00528605845612,0.0937989177924
111.0,0.367881831755,0.00295468109902,0.0970245714637
112.0,0.361546582437,-0.000143543381259,0.104473723117
113.0,0.354854283347,4.80063434528e-05,0.110754537043
114.0,0.347150787266,-0.00334374382597,0.118746984489
115.0,0.340088214476,0.000427108376994,0.125166486064
116.0,0.332654717686,0.00173742453575,0.131505552277
117.0,0.324233132566,0.00113275866684,0.139047886818
118.0,0.31553593003,9.15629031408e-05,0.147653484202
119.0,0.30671147899,-0.00256568574955,0.156070717729
120.0,0.298921433199,0.00306507769399,0.162186313151
121.0,0.288459326249,0.00159046998323,0.171117298363
122.0,0.280684943235,0.00305756160936,0.17857718948
123.0,0.270862206164,0.00161385914639,0.187305726101
124.0,0.260374149468,0.00288183666194,0.195689602355
125.0,0.251500108657,0.00541739256769,0.20322919113
126.0,0.241193096281,-0.000385969058133,0.21401470726
127.0,0.232870863765,0.00676548286932,0.219986834906
128.0,0.221103198691,0.000759652215523,0.231196446553
129.0,0.211990744697,0.00541609710717,0.238631410182
130.0,0.203323536502,0.00906023505785,0.244922665745
131.0,0.193522020938,0.00722559539718,0.254546982127
132.0,0.185488033291,0.0100360056429,0.261433117626
133.0,0.175237591435,0.00816648388287,0.270727894858
134.0,0.166379504843,0.00851738074234,0.278552841615
135.0,0.158371835066,0.011847375423,0.285017408762
136.0,0.148872928679,0.0117769594895,0.292506005528
137.0,0.140581234332,0.010751866784,0.300105672983
138.0,0.132013619597,0.0121885646362,0.30701728753
139.0,0.12544019858,0.0159028459283,0.311905423306
140.0,0.118033229954,0.0172964076713,0.317437862652
141.0,0.110369408806,0.0203036258052,0.322751649262
142.0,0.103281079034,0.0217507550585,0.328241726095
143.0,0.0967627589671,0.0210679230207,0.332930282546
144.0,0.0910112770768,0.023225245512,0.336822748181
145.0,0.0845924657772,0.0259457206638,0.340237926642
146.0,0.0788740368681,0.0344399856196,0.341116046131
147.0,0.0734409883101,0.0334003782486,0.345446894536
148.0,0.0674679533173,0.0315905682802,0.348557902988
149.0,0.0629539879254,0.037511675946,0.348463382948
150.0,0.057282924178,0.0386095364584,0.350464380454
151.0,0.0538250103265,0.0411651928232,0.349894772346
152.0,0.0495307680123,0.0462185401296,0.349309258503
153.0,0.0452250197182,0.0488261415123,0.348854392701
154.0,0.0414753848996,0.0532861342439,0.34744267714
155.0,0.0378566575913,0.0581501355377,0.345354575685
156.0,0.0350336309789,0.0627009257592,0.342830779838
157.0,0.0323097341507,0.0676317050207,0.339453046245
158.0,0.0295710690536,0.0721451711855,0.336224558604
159.0,0.0282642825974,0.0808437851968,0.330458154606
160.0,0.0241091631598,0.0818141390977,0.32783574512
161.0,0.0218160780346,0.0834300800678,0.324031159564
162.0,0.0200257144828,0.095059283028,0.316324501401
163.0,0.0183075783892,0.0978506782161,0.311809024945
164.0,0.0164525359226,0.105012492688,0.304766473426
165.0,0.0139057037967,0.105366246501,0.300635421222
166.0,0.0134590181769,0.116350483646,0.291884328808
167.0,0.0116546365448,0.12323836514,0.284351787328
168.0,0.0110335702043,0.129705870509,0.277233704509
169.0,0.00962981943241,0.136833647068,0.269277011129
170.0,0.00871570479474,0.144171717262,0.260863322991
171.0,0.00835808393271,0.152394244681,0.252185712532
172.0,0.00639789725105,0.158303124485,0.245253234533
173.0,0.00542279096863,0.161332728195,0.237458739975
174.0,0.00479021802693,0.169263388751,0.229125668307
175.0,0.00441959496932,0.180220676273,0.219495325232
176.0,0.00304912365553,0.18443445703,0.212493273317
177.0,0.00333132766418,0.193860138794,0.203041951194
178.0,0.00384454518011,0.200223709647,0.19400576812
179.0,0.00296998115027,0.208667565857,0.186119633732
180.0,0.00271931456067,0.216214232464,0.177043664807
181.0,0.00284656411634,0.222728222826,0.169039437905
182.0,0.00169006890804,0.22523307327,0.162206584232
183.0,0.00166712075846,0.239863935231,0.151843612307
184.0,0.00119161041433,0.241337124996,0.145575289933
185.0,0.000997868590353,0.248451998292,0.137963870554
186.0,0.000657280818762,0.254182869389,0.130520216774
187.0,0.000828810738406,0.262738767956,0.122941545479
188.0,0.000559272371324,0.266476350388,0.116378140288
189.0,0.000439057016492,0.272859325372,0.108951938159
190.0,0.000448763902943,0.277941093634,0.101906824647
191.0,-0.000376348092711,0.279731678787,0.096862776957
192.0,-0.00126848357223,0.282881717857,0.0908977871732
193.0,0.00024265059861,0.286854471555,0.0851842352625
194.0,5.08263155493e-05,0.29310943218,0.0781271917505
195.0,0.000686250015793,0.295368351956,0.072970517079
196.0,-0.000957907505646,0.29644969939,0.0689078295456
197.0,0.000176309198718,0.303406429157,0.062376043845
198.0,-0.00063292216548,0.301928107938,0.0590429161981
199.0,-0.000449447946123,0.301306948685,0.0548129589059
200.0,-0.000679500021562,0.30452708752,0.050103838084
201.0,0.000213734488384,0.309758739555,0.0444153652122
202.0,0.000558737793096,0.305694612127,0.0419543251557
203.0,-0.000232698740921,0.302381272703,0.0394885375324
204.0,-0.000646873363764,0.300702065593,0.0359284907771
205.0,-0.00166751415032,0.296243645795,0.0343710511364
206.0,0.000207103723853,0.296171443987,0.0303176273963
207.0,-0.000217911282684,0.296546603083,0.0272450054974
208.0,-0.000319969484706,0.29385874002,0.0243073038891
209.0,-0.000467605658036,0.289140376822,0.0227755599644
210.0,8.5124850813e-05,0.285809727148,0.0207239762263
211.0,-0.000973869762225,0.278198757014,0.0196626763989
212.0,-0.000310878293021,0.274206093988,0.0172019649517
213.0,-0.000557654947565,0.271082519991,0.0150915544362
214.0,-0.00048823101462,0.265014789548,0.013716698917
215.0,-0.000296186594035,0.259671612396,0.0120699610374
216.0,-0.000389368662829,0.254480417301,0.0108299721655
217.0,0.000378741886913,0.250358660525,0.00861514319658
218.0,-0.00013978079317,0.243494149065,0.00794204947701
219.0,0.000289355283972,0.235552064186,0.00736907784392
220.0,-0.000740861105918,0.226283715841,0.00717555553732
221.0,-3.94681042404e-05,0.222846755629,0.00542473927885
222.0,0.000253685755501,0.213181800034,0.00536972900671
223.0,-0.000480490992374,0.206425065314,0.00464275845909
224.0,-0.000698310983168,0.199499756154,0.0040884466452
225.0,-0.000522182629086,0.192440402827,0.00354563210471
226.0,-0.000487659377063,0.183240280112,0.00392327081893
227.0,3.74161682441e-06,0.17942702901,0.00207609207856
228.0,-8.88503008466e-05,0.169224767233,0.00256734368064
229.0,7.34356880419e-06,0.166229143704,0.00063962012081
230.0,-0.000940778731997,0.152862064899,0.00265466587818
231.0,-0.00100784559883,0.144439928176,0.00258790059671
232.0,-0.00113880490266,0.138127074983,0.00228427189268
233.0,-0.0011119149766,0.131387223002,0.00188356965686
234.0,-8.97031301142e-05,0.125399419401,0.00165638171558
235.0,6.73932807971e-05,0.118271025972,0.00156001637975
236.0,9.65921728735e-05,0.116533497556,0.000185387474493
237.0,5.98668994492e-05,0.106292231975,0.0011189137181
238.0,0.000157975865786,0.102974140112,-0.000199336404729
239.0,0.000146017395546,0.0940986159715,0.000633695370322
240.0,-0.000729235523767,0.0900555774446,0.000129579287024
241.0,0.000361613931514,0.084980155503,-0.00015211804009
242.0,0.000771470828079,0.0776565233309,0.000245216897288
243.0,-0.000518035640792,0.0734387598014,0.000510247670097
244.0,-0.000426555111111,0.0683940212303,0.00108371813247
245.0,-4.12673785833e-05,0.0637745124755,0.000254852015526
246.0,-0.000446022535694,0.0596014400416,0.000556119528023
247.0,-0.000143197179466,0.056194598742,0.000115789062439
248.0,1.43325997021e-05,0.0518255152151,-0.000251928181478
249.0,-8.25354891184e-05,0.0476925129355,8.57819334231e-05
250.0,-0.00018809600084,0.0427859436146,0.000511687622129
251.0,0.000716893389274,0.042808533259,-0.000507082576368
252.0,-0.000382972833869,0.0383182822403,0.000104633643909
253.0,0.000320829486124,0.0344191408653,-0.000334662895607
254.0,-9.56614273937e-05,0.0314626294389,0.000317366908256
255.0,-0.000753595894072,0.0315009686064,-0.000481336779539
256.0,-3.1316750303e-05,0.0284567064735,-0.000527755715912
257.0,0.000633353564596,0.0267764346602,-0.000503906290617
258.0,0.00066405920451,0.0234309633919,-0.00028781183055
259.0,0.000506314181684,0.0185302374673,0.000623371224089
260.0,0.000378302579997,0.0189865674062,1.20807809275e-05
261.0,0.000153616469323,0.0136107283962,0.000683373791129
262.0,-9.62836139471e-06,0.0149198799211,0.000115031325272
263.0,0.000166542373037,0.0123666395478,0.0006027329969
264.0,-0.000152995717538,0.0105988920265,0.000535260817344
265.0,0.000400276008377,0.0106061789305,0.000315698463918
266.0,-0.000447029101866,0.00933194737416,0.000490023890741
267.0,-0.000226352465312,0.00766174445691,0.000497499944309
268.0,0.000685255917724,0.00856478125514,-0.000228560188442
269.0,-0.000127094492979,0.00634983648571,0.00050000718424
270.0,0.000225967686026,0.00750129602483,-0.000533756167814
271.0,0.000708136699914,0.00747649724705,-0.000576563968665
272.0,-4.87390985974e-05,0.00402026552563,0.000318941242049
273.0,-0.000270798144777,0.00423260142136,7.84809159702e-05
274.0,-0.000147994399826,0.00626947869589,-0.000428014849073
275.0,0.000798499235019,0.00648463969189,-0.000940794177669
276.0,-0.000378564191623,0.00135628991039,0.000357087456475
277.0,0.000283640409582,0.00296030930173,0.000160569785961
278.0,0.000940797257244,0.00387071624655,-0.000664417074986
279.0,-0.000455958427582,0.00247097046826,0.00026401254255
280.0,-0.000125981709145,0.00440193794573,-0.000411957267913
281.0,3.45884616101e-05,0.00292802277229,-0.000643473861031
282.0,-0.000673171356387,0.000639724373895,0.000511500548126
283.0,0.000896879940343,0.00265842587422,-0.000759138467632
284.0,0.000223266731731,0.00369421692905,-0.000718965554946
285.0,0.00118466246695,0.00192183790035,-0.000713393092203
286.0,0.00100231049701,0.00406918606712,-0.00119025460701
287.0,-0.000406008561115,0.00196462905341,-0.000551108380594
288.0,0.000549288528789,0.0010955178901,-0.000867518602955
289.0,0.000591023585189,0.00243710640068,-0.000834635258479
290.0,-0.000722415841474,0.00141496506177,2.56955325804e-05
291.0,-0.000527362398929,0.00146193271383,-7.43775975384e-05
292.0,-0.000406431585416,-0.00411659111905,0.00175744039557
293.0,-0.000200139043534,0.00152180391805,-0.000167149721197
294.0,-0.00105282765306,-0.00339063012863,0.00173825566295
295.0,0.00039133519433,-0.000833892626472,-0.00012822258352
296.0,-0.000636552360475,0.000573522033504,-0.00019215583314
297.0,-0.000582053426407,0.000302835266409,0.000252021660482
298.0,-5.07887619259e-05,-3.58176419744e-05,0.000114163000812
299.0,0.000287986414512,0.000541902670466,-0.000465044623001
300.0,-9.96459261248e-05,-0.000971055393938,0.000238614371209
301.0,-0.000448404598112,-0.00222887634213,0.000625903204703
